new_num	new_name	facet	stage	site_count	sample_old_cerrs
30126	invalid_block_continue	invalid	3	1	invalid_block
30127	invalid_block_finally	invalid	3	1	return_or_break_in_finally
30128	invalid_break	invalid	3	1	invalid_loop
30129	invalid_capture_variable	invalid	3	1	invalid_capture
30130	invalid_cast_function	invalid	3	1	invalid_cast
30131	invalid_cast_structure	invalid	3	2	invalid_cast
30132	invalid_cast_structure_pointer	invalid	3	2	invalid_cast
30133	invalid_cast_type	invalid	3	1	type_not_found
30134	invalid_class	invalid	3	2	invalid_override,invalid_type
30135	invalid_class_local	invalid	3	1	invalid_type
30136	invalid_class_tuple	invalid	3	1	invalid_type
30137	invalid_class_variant	invalid	3	1	invalid_type
30138	invalid_clone_smart_pointer_type	invalid	3	1	invalid_type
30139	invalid_comprehension_element_type	invalid	3	1	invalid_type
30140	invalid_continue	invalid	3	1	invalid_loop
30141	invalid_debug_argument_count	invalid	3	1	invalid_argument_count
30142	invalid_debug_comment_type	invalid	3	1	invalid_argument_type
30143	invalid_delete_size_type	invalid	3	1	bad_delete
30144	invalid_delete_super_self_type	invalid	3	1	bad_delete
30145	invalid_enumeration	invalid	3	1	invalid_type
30146	invalid_enumeration_name	invalid	3	1	invalid_name
30147	invalid_enumerator	invalid	3	1	invalid_enumeration
30148	invalid_enumerator_name	invalid	3	1	invalid_name
30149	invalid_enumerator_type	invalid	3	1	invalid_enumeration
30150	invalid_erase_argument_count	invalid	3	1	invalid_argument_count
30151	invalid_expression	invalid	3	17	(empty),aot_side_effects,assert_with_side_effects,make_local_aliasing,syntax_error,top_level_no_sideeffect_operation
30152	invalid_field_name	invalid	3	1	invalid_name
30153	invalid_field_syntax	invalid	3	1	cant_get_field
30154	invalid_field_type	invalid	3	1	cant_get_field
30155	invalid_finally_in_generator_if	invalid	3	2	invalid_yield
30156	invalid_find_argument_count	invalid	3	1	invalid_argument_count
30157	invalid_for_iterator_count	invalid	3	1	invalid_loop
30158	invalid_for_iterator_tuple	invalid	3	1	invalid_iteration_source
30159	invalid_function_argument	invalid	3	3	aot_side_effects,invalid_argument_type,unused_function_argument
30160	invalid_function_argument_count	invalid	3	1	invalid_argument_count
30161	invalid_function_argument_type	invalid	3	4	cant_infer_generic,invalid_type
30162	invalid_function_argument_type_block	invalid	3	1	invalid_argument_type
30163	invalid_function_name	invalid	3	1	invalid_name
30164	invalid_function_options	invalid	3	1	no_init
30165	invalid_function_result	invalid	3	1	invalid_type
30166	invalid_function_result_discarded	invalid	3	1	result_discarded
30167	invalid_function_result_type	invalid	3	2	invalid_return_type
30168	invalid_function_type	invalid	3	1	type_not_found
30169	invalid_generator	invalid	3	1	type_not_found
30170	invalid_generator_argument_count	invalid	3	2	invalid_argument_count,invalid_argument_type
30171	invalid_generator_argument_type	invalid	3	1	invalid_argument_type
30172	invalid_generator_result_type	invalid	3	1	invalid_argument_type
30173	invalid_global	invalid	3	1	variable_not_found
30174	invalid_global_init_options	invalid	3	1	no_init
30175	invalid_global_init_type	invalid	3	3	cant_infer_mismatching_restrictions,invalid_initialization_type
30176	invalid_global_options	invalid	3	1	no_global_variables
30177	invalid_global_self_init	invalid	3	1	variable_not_found
30178	invalid_global_shared	invalid	3	1	invalid_variable_type
30179	invalid_global_type	invalid	3	3	invalid_variable_type
30180	invalid_global_type_shared	invalid	3	1	invalid_variable_type
30181	invalid_handle_index_type	invalid	3	1	invalid_index_type
30182	invalid_handle_safe_index_type	invalid	3	1	invalid_index_type
30183	invalid_if_condition_type	invalid	3	1	condition_must_be_bool
30184	invalid_index_type	invalid	3	7	invalid_index_type
30185	invalid_insert_argument_count	invalid	3	1	invalid_argument_count
30186	invalid_invoke_argument_count	invalid	3	3	invalid_argument_count
30187	invalid_invoke_argument_type	invalid	3	2	invalid_argument_count,invalid_argument_type
30188	invalid_invoke_method_syntax	invalid	3	2	invalid_argument_count
30189	invalid_invoke_target_type	invalid	3	3	invalid_argument_count,invalid_argument_type
30190	invalid_is	invalid	3	1	invalid_type
30191	invalid_is_expression	invalid	3	1	typeinfo_auto
30192	invalid_iteration_source_type	invalid	3	1	invalid_iteration_source
30193	invalid_key_exists_argument_count	invalid	3	1	invalid_argument_count
30194	invalid_label_type	invalid	3	1	invalid_label
30195	invalid_local_in_scope	invalid	3	1	invalid_variable_type
30196	invalid_local_in_scope_finally	invalid	3	1	invalid_variable_type
30197	invalid_local_init	invalid	3	3	invalid_initialization_type
30198	invalid_local_init_block	invalid	3	1	invalid_initialization_type
30199	invalid_local_init_constructor	invalid	3	1	invalid_initialization_type
30200	invalid_local_init_type	invalid	3	4	cant_infer_mismatching_restrictions,invalid_initialization_type
